Lemma	SF	Analysis	Segmentation	Freq
huumenatsien	huumenatsien	huume_N-natsi_N-PL-GEN	huume-nats-i-en	1
hylsyihin	hylsyihin	hylsy_N-PL-ILL	hylsy-i-hin	1
hypoteettisia	hypoteettisia	hypoteettinen_A-PL-PTV	hypoteettis-i-a	1
hyvitettävä	hyvitettävä	hyvittää_V-PSS-PCP1	hyvite-ttä-vä	1
hyvityksinä	hyvityksinä	hyvittää_V-DVUS-PL-ESS	hyvit-yks-i-nä	1
hyy:n	hyy:n	GEN	n	1
häiriintyneessä	häiriintyneessä	häiriintyä_V-PCP2-INE	häiriinty-nee-ssä	1
hälytystehtävä	hälytystehtävä	hälyttää_V-DVUS-tehtävä_N	hälyt-ys-tehtävä	1
hämeenlinnalaismiehen	hämeenlinnalaismiehen	hämeenlinnalainen_A/N-mies_N-GEN	hämeenlinnalais-miehe-n	1
häpeilemättömyys	häpeilemättömyys	hävetä_V-DVILE-DVMATON-DAUUS	häpe-ile-mättöm-yys	1
hätävarjelu	hätävarjelu	hätä_N-varjella_V-DVU	hätä-varjel-u	1
hävitä	hävitä	hävitä_V-DVTTA	hävi-tä	1
hömpöttelee	hömpöttelee	hömpöttää_V-DVELE-SG3	hömpött-ele-e	1
höyrykattila	höyrykattila	höyry_N-kattila_N	höyry-kattila	1
höystää	höystää	höystää_V-INF1	höystä-ä	1
ideologisia	ideologisia	ideologinen_A-PL-PTV	ideologis-i-a	1
ihannevastustajat	ihannevastustajat	ihanne_N-vastustaa_V-DVJA-PL	ihanne-vastusta-ja-t	1
ihmeissämme	ihmeissämme	ihme_N-PL-INE-1PL	ihme-i-ssä-mme	1
ikaalisilla	ikaalisilla	ikaalinen_N-PL-ADE	ikaalis-i-lla	1
ikaalislainen	ikaalislainen	ikaalinen_N-DNLAINEN	ikaalis-lainen	1
ilmaisulle	ilmaisulle	ilmaista_V-DVU-ALL	ilmais-u-lle	1
ilmapuolustusliiton	ilmapuolustusliiton	ilma_N-puolustaa_V-DVUS-liitto_N-GEN	ilma-puolust-us-liito-n	1
ilmarevolveri	ilmarevolveri	ilma_N-revolveri_N	ilma-revolveri	1
ilmoitusmarkkoja	ilmoitusmarkkoja	ilmoittaa_V-DVUS-markka_N-PL-PTV	ilmoit-us-markko-j-a	1
iltajuhlasta	iltajuhlasta	ilta_N-juhla_N-ELA	ilta-juhla-sta	1
iltakonsertteihin	iltakonsertteihin	ilta_N-konsertti_N-PL-ILL	ilta-konsertte-i-hin	1
iltalehdessä	iltalehdessä	ilta_N-lehti_N-INE	ilta-lehde-ssä	1
ilveskissoille	ilveskissoille	ilves_N-kissa_N-PL-ALL	ilves-kisso-i-lle	1
ilvespeluri	ilvespeluri	ilves_N-peluri_N	ilves-peluri	1
improvisoimme	improvisoimme	improvisoida_V-PL1	improvisoi-mme	1
imusolmukesyöpää	imusolmukesyöpää	imu_N-solmuke_N-syöpä_N-PTV	imu-solmuke-syöpä-ä	1
imusolmukesyövästä	imusolmukesyövästä	imu_N-solmuke_N-syödä_V-PCP1-ELA	imu-solmuke-syö-vä-stä	1
imusta	imusta	imu_N-ELA	imu-sta	1
infektiovahinkoja	infektiovahinkoja	infektio_N-vahinko_N-PL-PTV	infektio-vahinko-j-a	1
informaatioähkyn	informaatioähkyn	informaatio_N-ähky_N-GEN	informaatio-ähky-n	1
inkarnaatio	inkarnaatio	inkarnaatio_N	inkarnaatio	1
insinöörimajuri	insinöörimajuri	insinööri_N-majuri_N	insinööri-majuri	1
intohimoisena	intohimoisena	into_N-himoinen_A-ESS	into-himoise-na	1
investointiosuudesta	investointiosuudesta	investoida_V-DVNTI-osuus_N-ELA	investoi-nti-osuude-sta	1
investointipäätökseen	investointipäätökseen	investoida_V-DVNTI-päättö_N-TRA-3SGPL	investoi-nti-päätö-kse-en	1
irrotettavaa	irrotettavaa	irrottaa_V-PSS-PCP1-PTV	irrote-tta-va-a	1
irrotettavan	irrotettavan	irrottaa_V-PSS-PCP1-GEN	irrote-tta-va-n	1
irrottelun	irrottelun	irrottaa_V-DVELE-DVU-GEN	irrott-el-u-n	1
iskunvaimentimia	iskunvaimentimia	isku_N-GEN-vaimennin_N-PL-PTV	isku-n-vaimentim-i-a	1
iskupaikka	iskupaikka	isku_N-paikka_N	isku-paikka	1
iskuteho	iskuteho	isku_N-teho_N	isku-teho	1
islantilaisesta	islantilaisesta	islanti_N-DNLAINEN-ELA	islanti-laise-sta	1
isopää	isopää	iso_A-pää_N	iso-pää	1
istuin	istuin	istua_V-PAST-SG1-istuin_N	istu-i-n-istuin	1
istumapaikka	istumapaikka	istua_V-DVMA-paikka_N	istu-ma-paikka	1
istumapaikkaansa	istumapaikkaansa	istua_V-DVMA-paikka_N-ILL-3SGPL	istu-ma-paikka-a-nsa	1
istuneille	istuneille	istua_V-PCP2-PL-ALL	istu-ne-i-lle	1
itsenäisyyspyrkimyksistä	itsenäisyyspyrkimyksistä	itsenäinen_A-DAUUS-pyrkimys_N-PL-ELA	itsenäis-yys-pyrkimyks-i-stä	1
itäberliiniläisten	itäberliiniläisten	itä_N-berliini_N-DNLAINEN-PL-GEN	itä-berliini-läis-t-en	1
itäberliinin	itäberliinin	itä_N-berliini_N-GEN	itä-berliini-n	1
itähelsinkiläiset	itähelsinkiläiset	itä_N-helsinki_N-DNLAINEN-PL	itä-helsinki-läise-t	1
jakoviiva	jakoviiva	jako_N-viiva_N	jako-viiva	1
jalkapallokartalla	jalkapallokartalla	jalka_N-pallo_N-kartta_N-ADE	jalka-pallo-karta-lla	1
jalkapallovuosi	jalkapallovuosi	jalka_N-pallo_N-vuo_N-2SG	jalka-pallo-vuo-si	1
jannehan	jannehan	janne_N-hAn_CLI	janne-han	1
jannesaliin	jannesaliin	janne_N-sali_N-ILL	janne-sali-in	1
japsien	japsien	japsi_N-PL-GEN	japs-i-en	1
jerry	jerry	jerry_N	jerry	1
johtojuoksun	johtojuoksun	johto_N-juoksu_N-GEN	johto-juoksu-n	1
jokavuotisia	jokavuotisia	jo_PRON-PRONSUF-vuotinen_A-PL-PTV	jo-ka-vuotis-i-a	1
jokeripelaaja	jokeripelaaja	jokeri_N-pelata_V-DVJA	jokeri-pelaa-ja	1
jonesistakin	jonesistakin	jones_N-ELA-kin_CLI	jonesi-sta-kin	1
joosefin	joosefin	joosef_N-GEN	joosefi-n	1
joukkuemäessäkin	joukkuemäessäkin	joukkue_N-mäki_N-INE-kin_CLI	joukkue-mäe-ssä-kin	1
joulukorttien	joulukorttien	joulu_N-kortti_N-PL-GEN	joulu-kortt-i-en	1
joulunalusaikana	joulunalusaikana	joulu_N-GEN-alunen_N-aika_N-ESS	joulu-n-alus-aika-na	1
joulunaluskiireiden	joulunaluskiireiden	joulu_N-GEN-alunen_N-kiire_A-PL-GEN	joulu-n-alus-kiire-i-den	1
joulunumeroon	joulunumeroon	joulu_N-numero_N-ILL	joulu-numero-on	1
joulunvihreä	joulunvihreä	joulu_N-GEN-vihreä_A	joulu-n-vihreä	1
jouluruoat	jouluruoat	joulu_N-ruoka_N-PL	joulu-ruoa-t	1
joulusillin	joulusillin	joulu_N-silli_N-GEN	joulu-silli-n	1
joulutontuille	joulutontuille	joulu_N-DNTON-tuki_N-PL-ALL	joulu-ton-tu-i-lle	1
jousituksesta	jousituksesta	jousittaa_V-DVUS-ELA	jousit-ukse-sta	1
juhanakvartetissa	juhanakvartetissa	juha_N-ESS-kvartetti_N-INE-juhana_N	juha-na-kvarteti-ssa-juhana	1
juhanille	juhanille	juhana_N-PL-ALL-juhani_N	juhan-i-lle-juhani	1
julkaisuiksi	julkaisuiksi	julkaista_V-DVU-PL-TRA	julkais-u-i-ksi	1
julkisuushyödyn	julkisuushyödyn	julkinen_A-DAUUS-hyöty_N-GEN	julkis-uus-hyödy-n	1
julkisuusongelmista	julkisuusongelmista	julkinen_A-DAUUS-ongelma_N-PL-ELA	julkis-uus-ongelm-i-sta	1
jumalanpilkan	jumalanpilkan	jumala_N-GEN-pilkka_N	jumala-n-pilka	1
jumbo	jumbo	jumbo_N	jumbo	1
jumbona	jumbona	jumbo_N-ESS	jumbo-na	1
junavaunu	junavaunu	juna_N-vaunu_N	juna-vaunu	1
junia	junia	juna_N-PL-PTV	jun-i-a	1
juniorityössä	juniorityössä	juniori_N-työ_N-INE	juniori-työ-ssä	1
juoksuerolla	juoksuerolla	juoksu_N-ero_N-ADE	juoksu-ero-lla	1
juoksutetaan	juoksutetaan	juoksuttaa_V-PSS-PE4	juoksute-ta-an	1
juoksuttivat	juoksuttivat	juoksuttaa_V-PAST-PL3	juoksutt-i-vat	1
juomateollisuuteen	juomateollisuuteen	juoda_V-DVMA-teollinen_A-DAUUS-ILL-juoma_N	juo-ma-teollis-uute-en-juoma	1
juustohöyläratkaisuilla	juustohöyläratkaisuilla	juusto_N-höylä_N-ratkaista_V-DVU-PL-ADE	juusto-höylä-ratkais-u-i-lla	1
jälkijättöiseltä	jälkijättöiseltä	jälki_N-jättöinen_A-ABL	jälki-jättöise-ltä	1
jännitysmomenttina	jännitysmomenttina	jännittää_V-DVUS-momentti_N-ESS	jännit-ys-momentti-na	1
järjestystä	järjestystä	järjestää_V-DVUS-PTV	järjest-ys-tä	1
järjestäjäseurat	järjestäjäseurat	järjestää_V-DVJA-seura_N-PL	järjestä-jä-seura-t	1
järjestöelämään	järjestöelämään	järjestö_N-elämä_N-ILL	järjestö-elämä-än	1
järkeenkäyvältä	järkeenkäyvältä	järki_N-ILL-käypä_A-ABL-järkeenkäydä_V-PCP1	järke-en-käyvä-ltä-järkeenkäy-vä	1
järvikohtaukseen	järvikohtaukseen	järvi_N-kohdata_V-DVUS-ILL	järvi-kohta-ukse-en	1
jäseneltään	jäseneltään	jäsen_N-ABL-3SGPL	jäsene-ltä-än	1
jäsenkuntaan	jäsenkuntaan	jäsen_N-kunta_N-ILL	jäsen-kunta-an	1
jäsentämässä	jäsentämässä	jäsentää_V-DVMA-INE	jäsentä-mä-ssä	1
jätteenkäsittelylaitoksineen	jätteenkäsittelylaitoksineen	jäte_N-GEN-käsitellä_V-DVU-laitos_N-CMT-3SGPL	jättee-n-käsittel-y-laitoks-ine-en	1
jättipalikoista	jättipalikoista	jätti_N-palikka_N-PL-ELA	jätti-paliko-i-sta	1
jäädytettäisiin	jäädytettäisiin	jäätyä_V-DVTTA-PSS-COND-PE4	jäädy-te-ttä-isi-in	1
jääkiekkoileva	jääkiekkoileva	jää_N-kiekkoilla_V-PCP1-jääkiekkoilla_V	jää-kiekkoile-va-jääkiekkoile	1
jääkäreitten	jääkäreitten	jääkäri_N-PL-GEN	jääkäre-i-tten	1
jäänevät	jäänevät	jäädä_V-POTN-PL3	jää-ne-vät	1
jäänmurtajien	jäänmurtajien	jää_N-GEN-murtaa_V-DVJA-PL-GEN	jää-n-murta-j-i-en	1
jäänteiksi	jäänteiksi	jää_N-GEN-tie_N-PL-TRA-jäänne_N	jää-n-te-i-ksi-jäänte	1
jäätyisi	jäätyisi	jäätyä_V-COND	jääty-isi	1
kaakkoisbosniaa	kaakkoisbosniaa	kaakkoinen_A-bosnia_N-PTV	kaakkois-bosnia-a	1
kaakkoisrajan	kaakkoisrajan	kaakkoinen_A-raja_N-GEN	kaakkois-raja-n	1
kaameudessaan	kaameudessaan	kaamea_A-DAUS-INE-3SGPL	kaame-ude-ssa-an	1
kaatopaikkajätteen	kaatopaikkajätteen	kaato_N-paikka_N-jäte_N-GEN	kaato-paikka-jättee-n	1
kaatopaikkaretkeltä	kaatopaikkaretkeltä	kaato_N-paikka_N-retki_N-ABL	kaato-paikka-retke-ltä	1
kaatuisi	kaatuisi	kaatua_V-COND	kaatu-isi	1
kaatuvat	kaatuvat	kaatua_V-PCP1-PL	kaatu-va-t	1
kaavoineen	kaavoineen	kaava_N-CMT-3SGPL	kaavo-ine-en	1
kahdeksaansataan	kahdeksaansataan	kahdeksan_NUM-ILL-sata_NUM	kahdeksa-an-sata	1
kaikenkokoisissa	kaikenkokoisissa	kaikki_PRON-GEN-kokoinen_A-PL-INE	kaike-n-kokois-i-ssa	1
kairaustehtävät	kairaustehtävät	kairata_V-DVUS-tehtävä_N-PL	kaira-us-tehtävä-t	1
kaivostoiminnalla	kaivostoiminnalla	kaivonen_N-toimia_V-DVNTA-ADE	kaivos-toimi-nna-lla	1
kaivuuväelle	kaivuuväelle	kaivuu_N-väki_N-ALL	kaivuu-väe-lle	1
kaksinaisen	kaksinaisen	kaksinainen_A-GEN	kaksinaise-n	1
kaksinapaisuus	kaksinapaisuus	kaksi_NUM-napainen_A-DAUUS	kaksi-napais-uus	1
kalahtelevin	kalahtelevin	kalahtaa_V-DVELE-PCP1-PL-INS	kalaht-ele-v-i-n	1
kalaniemen	kalaniemen	kala_N-niemi_N-GEN	kala-nieme-n	1
kalanpyydyksien	kalanpyydyksien	kala_N-GEN-pyydys_N-PL-GEN	kala-n-pyydyks-i-en	1
kalanviljelylaitoksissa	kalanviljelylaitoksissa	kala_N-GEN-viljellä_V-DVU-laitos_N-PL-INE	kala-n-viljel-y-laitoks-i-ssa	1
kalastusalukseen	kalastusalukseen	kalastaa_V-DVUS-alku_N-TRA-3SGPL	kalast-us-alu-kse-en	1
kalastusrekisteriin	kalastusrekisteriin	kalastaa_V-DVUS-rekisteri_N-ILL	kalast-us-rekisteri-in	1
kali	kali	kali_N	kali	1
kalitta	kalitta	kali_N-ABE	kali-tta	1
kalkinpoistoaineen	kalkinpoistoaineen	kalkki_N-GEN-poisto_N-aine_N	kalki-n-poisto-ainee	1
kallistumallaan	kallistumallaan	kallistaa_V-DVU-DVMA-ADE-3SGPL-kallistuma_N	kallist-u-ma-lla-an-kallistuma	1
kalsonkien	kalsonkien	kalsongit_N-PL-GEN	kalsonk-i-en	1
kamarimusiikkisarja	kamarimusiikkisarja	kamari_N-musiikki_N-sarja_N	kamari-musiikki-sarja	1
kana	kana	kana_N	kana	1
kanelipuun	kanelipuun	kaneli_N-puu_N-GEN	kaneli-puu-n	1
kansainliitossa	kansainliitossa	kansa_N-PL-GEN-liitto_N-INE	kansa-i-n-liito-ssa	1
kansainvälisenkin	kansainvälisenkin	kansa_N-PL-GEN-väli_N-senkki_N	kansa-i-n-väli-senki	1
kansalaisjärjestötapaamisen	kansalaisjärjestötapaamisen	kansalainen_N-järjestö_N-tavata_V-DVMINEN-GEN	kansalais-järjestö-tapaa-mise-n	1
kansalliseläimen	kansalliseläimen	kansallinen_A-eläin_N-GEN	kansallis-eläime-n	1
kansallispuolueen	kansallispuolueen	kansallinen_A-puolue_N-GEN	kansallis-puoluee-n	1
kansanosia	kansanosia	kansa_N-GEN-osa_N-PL-PTV	kansa-n-os-i-a	1
kansanryhmissä	kansanryhmissä	kansa_N-GEN-ryhmä_N-PL-INE	kansa-n-ryhm-i-ssä	1
kansayhtymän	kansayhtymän	kansa_N-yhtymä_N-GEN	kansa-yhtymä-n	1
kanssakilpailijoiden	kanssakilpailijoiden	kanssa-kilpailla_V-DVJA-PL-GEN	kanssa-kilpaili-jo-i-den	1
kantako	kantako	kantaa_V-IMPV	kanta-ko	1
kappalevalikoima	kappalevalikoima	kappale_N-valikoima_N	kappale-valikoima	1
kapteenina	kapteenina	kapteeni_N-ESS	kapteeni-na	1
kara	kara	kara_N	kara	1
karahtaminen	karahtaminen	karahtaa_V-DVMINEN	karahta-minen	1
karhunen	karhunen	karhunen_N	karhunen	1
karhunpalvelus	karhunpalvelus	karhu_N-GEN-palvelus_N	karhu-n-palvelus	1
karkotettavan	karkotettavan	karkottaa_V-PSS-PCP1-GEN	karkote-tta-va-n	1
karkottavan	karkottavan	karkottaa_V-PCP1-GEN	karkotta-va-n	1
kasinokaupungissa	kasinokaupungissa	kasino_N-kaupunki_N-INE	kasino-kaupungi-ssa	1
kasinopelurit	kasinopelurit	kasino_N-peluri_N-PL	kasino-peluri-t	1
kassakaapit	kassakaapit	kassa_N-kaappi_N-PL	kassa-kaapi-t	1
kassamagneettien	kassamagneettien	kassa_N-magneetti_N-PL-GEN	kassa-magneett-i-en	1
kasvatusotteisiin	kasvatusotteisiin	kasvaa_V-DVTTA-DVUS-ote_N-PL-ILL	kasva-t-us-otte-i-siin	1
kasvihuonevaikutus	kasvihuonevaikutus	kasvi_N-huone_N-vaikuttaa_V-DVUS	kasvi-huone-vaikut-us	1
kasvintarkastajilla	kasvintarkastajilla	kasvi_N-GEN-tarkastaa_V-DVJA-PL-ADE	kasvi-n-tarkasta-j-i-lla	1
kasvuennusteet	kasvuennusteet	kasvu_N-ennuste_N-PL	kasvu-ennustee-t	1
katetuotto	katetuotto	kate_N-tuotto_N	kate-tuotto	1
katoilla	katoilla	kattaa_V-DVILE-PSS	kato-il-la	1
katolilaiset	katolilaiset	katolilainen_N-PL	katolilaise-t	1
katselemme	katselemme	katsella_V-PL1	katsele-mme	1
katselleeksi	katselleeksi	katsella_V-PCP2-TRA	katsel-lee-ksi	1
katsellen	katsellen	katsella_V-INF2-INS	katsel-le-n	1
katselmustoimitukselle	katselmustoimitukselle	katselmus_N-toimia_V-DVTTA-DVUS-ALL	katselmus-toimi-t-ukse-lle	1
katsotuissa	katsotuissa	katsoa_V-PSSPCP2-PL-INE	katso-tu-i-ssa	1
kattaneen	kattaneen	kattaa_V-PCP2-GEN	katta-nee-n	1
kauhuromantiikka	kauhuromantiikka	kauhu_N-romantiikka_N	kauhu-romantiikka	1
kaunotarta	kaunotarta	kaunotar_N-PTV	kaunotar-ta	1
kauppasummana	kauppasummana	kauppa_N-summa_N-ESS	kauppa-summa-na	1
kehittäjiin	kehittäjiin	kehittää_V-DVJA-PL-ILL	kehittä-j-i-in	1
kehittämislinjaan	kehittämislinjaan	kehittää_V-DVMINEN-linja_N-ILL	kehittä-mis-linja-an	1
kehitysuskon	kehitysuskon	kehittää_V-DVUS-usko_N-GEN	kehit-ys-usko-n	1
kehitysyhteistyötukea	kehitysyhteistyötukea	kehittää_V-DVUS-yhteinen_A-työ_N-tuki_N-PTV	kehit-ys-yhteis-työ-tuke-a	1
kehnoimmin	kehnoimmin	kehno_A-SUP-PL-INS	kehno-imm-i-n	1
kehuisi	kehuisi	kehua_V-COND	kehu-isi	1
kehuttavasti	kehuttavasti	kehua_V-DVTTA-PCP1-MAN	kehu-tta-va-sti	1
keikkapalkkiona	keikkapalkkiona	keikka_N-palkkio_N-ESS	keikka-palkkio-na	1
keinoaineista	keinoaineista	keino_N-aine_N-PL-ELA	keino-aine-i-sta	1
keksintöarsenaaliin	keksintöarsenaaliin	keksintö_N-arsenaali_N-ILL	keksintö-arsenaali-in	1
kellankalpeaksi	kellankalpeaksi	kelta_N-GEN-kalpea_A-TRA	kella-n-kalpea-ksi	1
kelluntaa	kelluntaa	kellua_V-DVNTA-PTV	kellu-nta-a	1
kelpoisuusvaatimuksia	kelpoisuusvaatimuksia	kelpoinen_A-DAUUS-vaatimus_N-PL-PTV	kelpois-uus-vaatimuks-i-a	1
keltasipuli	keltasipuli	kelta_N-sipuli_N	kelta-sipuli	1
kemiaan	kemiaan	kemia_N-ILL	kemia-an	1
kenraaleilta	kenraaleilta	kenraali_N-PL-ABL	kenraale-i-lta	1
kenraalieversti	kenraalieversti	kenraali_N-eversti_N	kenraali-eversti	1
keraaminen	keraaminen	keraaminen_A	keraaminen	1
kerrosneliömetrin	kerrosneliömetrin	kerros_N-neliö_N-metri_N-GEN	kerros-neliö-metri-n	1
kerrostalokorttelin	kerrostalokorttelin	kerros_N-talo_N-kortteli_N-GEN	kerros-talo-kortteli-n	1
kertomalla	kertomalla	kertoa_V-DVMA-ADE	kerto-ma-lla	1
keräämän	keräämän	kerätä_V-DVMA-GEN	kerää-mä-n	1
keräämäni	keräämäni	kerätä_V-DVMA-1SG	kerää-mä-ni	1
keskiaikaiseksi	keskiaikaiseksi	keski_PFX-aikainen_A-TRA	keski-aikaise-ksi	1
keskushenkilöt	keskushenkilöt	keskus_N-henkilö_N-PL	keskus-henkilö-t	1
keskuskirjastona	keskuskirjastona	keskus_N-kirjasto_N-ESS	keskus-kirjasto-na	1
kestosuosikit	kestosuosikit	kesto_N-suosikki_N-PL	kesto-suosiki-t	1
kestävyydestään	kestävyydestään	kestää_V-PCP1-DAUUS-ELA-3SGPL	kestä-v-yyde-stä-än	1
kestävyys	kestävyys	kestää_V-PCP1-DAUUS	kestä-v-yys	1
kesäjuhlista	kesäjuhlista	kesä_N-juhla_N-PL-ELA	kesä-juhl-i-sta	1
kevolta	kevolta	kevo_N-ABL	kevo-lta	1
kevätniemeen	kevätniemeen	kevät_N-niemi_N-ILL	kevät-nieme-en	1
keynes	keynes	keynes_N	keynes	1
keynesiläiset	keynesiläiset	keynes_N-DNLAINEN-PL	keynesi-läise-t	1
kiedottiin	kiedottiin	kietoa_V-PSS-PAST-PE4	kiedo-tt-i-in	1
kiekkojuniori	kiekkojuniori	kiekko_N-juniori_N	kiekko-juniori	1
kielelliselle	kielelliselle	kieli_N-DNLLINEN-ALL	kiele-llise-lle	1
kiemurtavaa	kiemurtavaa	kiemurtaa_V-PCP1-PTV	kiemurta-va-a	1
kieppeille	kieppeille	kieppeille-ALL	kieppei-lle	1
kiilautuneet	kiilautuneet	kiilautua_V-PCP2-PL	kiilautu-nee-t	1
kiimassa	kiimassa	kiima_N-INE	kiima-ssa	1
kiireaikoina	kiireaikoina	kiire_A-aika_N-PL-ESS	kiire-aiko-i-na	1
kilimanjaromaastopyörä	kilimanjaromaastopyörä	kilimanjaro_N-maasto_N-pyörä_N	kilimanjaro-maasto-pyörä	1
kilpaajajan	kilpaajajan	kilpa_N-ajaa_V-DVJA-GEN	kilpa-aja-ja-n	1
kilpailutetaan	kilpailutetaan	kilpailla_V-DVUTTA-PSS-PE4	kilpail-ute-ta-an	1
kimpale	kimpale	kimpale_N	kimpale	1
kimpaleen	kimpaleen	kimpale_N-GEN	kimpalee-n	1
kinkkusuikaleita	kinkkusuikaleita	kinkku_N-suikale_N-PL-PTV	kinkku-suikale-i-ta	1
kinttupoluksi	kinttupoluksi	kinttu_N-polku_N-TRA	kinttu-polu-ksi	1
kioskiryöstäjiä	kioskiryöstäjiä	kioski_N-ryöstää_V-DVJA-PL-PTV	kioski-ryöstä-j-i-ä	1
kipeimmän	kipeimmän	kipeä_A-SUP-GEN	kipe-immä-n	1
kipeimmät	kipeimmät	kipeä_A-SUP-PL	kipe-immä-t	1
kiperimmätkin	kiperimmätkin	kiperä_A-SUP-PL-kin_CLI	kiper-immä-t-kin	1
kippurin	kippurin	kippura_A-SUP	kippur-in	1
kirjaarvostelijana	kirjaarvostelijana	kirja_N-arvostella_V-DVJA-ESS	kirja-arvosteli-ja-na	1
kirjailee	kirjailee	kirjailla_V-SG3	kirjaile-e	1
kirjoittaahan	kirjoittaahan	kirjoittaa_V-INF1-hAn_CLI	kirjoitta-a-han	1
kirjolohifilee	kirjolohifilee	kirjo_N-lohi_N-filee_N	kirjo-lohi-filee	1
kirkkoherranvaali	kirkkoherranvaali	kirkko_N-herra_N-GEN-vaali_N	kirkko-herra-n-vaali	1
kirkkoherranviraston	kirkkoherranviraston	kirkko_N-herra_N-GEN-virasto_N	kirkko-herra-n-virasto	1
kirvesmiesporukka	kirvesmiesporukka	kirves_N-mies_N-porukka_N	kirves-mies-porukka	1
kitkeränsävyisesti	kitkeränsävyisesti	kitkerä_A-GEN-sävyinen_A-MAN	kitkerä-n-sävyise-sti	1
kitkettävä	kitkettävä	kitkeä_V-DVTTA-PCP1	kitke-ttä-vä	1
kivikuvan	kivikuvan	kivi_N-kuva_N-GEN	kivi-kuva-n	1
kivisti	kivisti	kivistää_V-PAST	kivist-i	1
kohdissaan	kohdissaan	kohta_N-PL-INE-3SGPL	kohd-i-ssa-an	1
kohdulle	kohdulle	kohtu_N-ALL	kohdu-lle	1
kohenemisen	kohenemisen	koheta_V-DVMINEN-GEN	kohene-mise-n	1
kohentamalla	kohentamalla	koheta_V-DVNTAA-DVMA-ADE	kohe-nta-ma-lla	1
kohtamaan	kohtamaan	kohta_N-maa_N-GEN	kohta-maa-n	1
kohteliaisuuksia	kohteliaisuuksia	kohtelias_A-DAUUS-PL-PTV	kohteliais-uuks-i-a	1
kokeilevia	kokeilevia	kokeilla_V-PCP1-PL-PTV	kokeile-v-i-a	1
kokeiltavissa	kokeiltavissa	kokeilla_V-PSS-PCP1-PL-INE	kokeil-ta-v-i-ssa	1
kokeisiin	kokeisiin	koe_N-PL-ILL	koke-i-siin	1
kokkareinen	kokkareinen	kokkareinen_A	kokkareinen	1
kokkolasta	kokkolasta	kokko_N-lapsi_N-PTV	kokko-las-ta	1
kokoelmaa	kokoelmaa	kokoelma_N-PTV	kokoelma-a	1
kokonaisratkaisuihin	kokonaisratkaisuihin	kokonainen_A-ratkaista_V-DVU-PL-ILL	kokonais-ratkais-u-i-hin	1
kokousasioista	kokousasioista	kokous_N-asia_N-PL-ELA	kokous-asio-i-sta	1
kolmikkona	kolmikkona	kolmikko_N-ESS	kolmikko-na	1
komeasarvisia	komeasarvisia	komea_A-sarvinen_A-PL-PTV	komea-sarvis-i-a	1
komentorakenteesta	komentorakenteesta	komento_N-rakenne_N-ELA	komento-rakentee-sta	1
komistua	komistua	komistaa_V-DVU-INF1	komist-u-a	1
komiteataipaleensa	komiteataipaleensa	komitea_N-taival_N-ILL-3SGPL	komitea-taipale-e-nsa	1
kompastumisestaan	kompastumisestaan	kompastua_V-DVMINEN-ELA-3SGPL	kompastu-mise-sta-an	1
komppaniamme	komppaniamme	komppania_N-1PL	komppania-mme	1
konesavotan	konesavotan	kone_N-savotta_N-GEN	kone-savota-n	1
konetyyppiä	konetyyppiä	kone_N-tyyppi_N-PTV	kone-tyyppi-ä	1
konnatroikkaa	konnatroikkaa	konna_N-troikka_N-PTV	konna-troikka-a	1
konserniyhtiöksi	konserniyhtiöksi	konserni_N-yhtiö_N-TRA	konserni-yhtiö-ksi	1
konsulttityöt	konsulttityöt	konsultti_N-työ_N-PL	konsultti-työ-t	1
koreammin	koreammin	korea_A-CMP-PL-INS	korea-mm-i-n	1
koreografiakilpailun	koreografiakilpailun	koreografi_N-PTV-kilpailla_V-DVU-GEN-koreografia_N	koreografi-a-kilpail-u-n-koreografia	1
koreografilinjalle	koreografilinjalle	koreografi_N-linja_N-ALL	koreografi-linja-lle	1
koripallofinaalit	koripallofinaalit	kori_N-pallo_N-finaali_N-PL	kori-pallo-finaali-t	1
korjausavustukset	korjausavustukset	korjata_V-DVUS-avustaa_V-DVUS-PL	korja-us-avust-ukse-t	1
korkeakoulujärjestelmät	korkeakoulujärjestelmät	korkea_A-koulu_N-järjestelmä_N-PL	korkea-koulu-järjestelmä-t	1
korkeakoulusta	korkeakoulusta	korkea_A-koulu_N-ELA	korkea-koulu-sta	1
koroin	koroin	korko_N-PL-INS	koro-i-n	1
korottaisi	korottaisi	korottaa_V-COND	korotta-isi	1
korruptoinut	korruptoinut	korruptoida_V-PCP2	korruptoi-nut	1
kosketat	kosketat	koskettaa_V-SG2	kosketa-t	1
kotikunto	kotikunto	koti_N-kunto_N	koti-kunto	1
kotimaisemiinsa	kotimaisemiinsa	koti_N-maisema_N-PL	koti-maisem-i	1
kotioloista	kotioloista	koti_N-olo_N-PL-ELA	koti-olo-i-sta	1
kotiradan	kotiradan	koti_N-rata_N-GEN	koti-rada-n	1
kotivaltiossaan	kotivaltiossaan	koti_N-valtio_N-INE-3SGPL	koti-valtio-ssa-an	1
koulukiusatuksi	koulukiusatuksi	koulu_N-kiusata_V-PSSPCP2-TRA	koulu-kiusa-tu-ksi	1
koulukkaan	koulukkaan	koulukas_N-GEN	koulukkaa-n	1
koulukysymykset	koulukysymykset	koulu_N-kysymys_N-PL	koulu-kysymykse-t	1
koulupohjalla	koulupohjalla	koulu_N-pohja_N-ADE	koulu-pohja-lla	1
