{'sf': 'ajoilta', 'freq': '1', 'analysis': 'aika_N-PL-ABL', 'segmentation': 'ajo-i-lta', 'ur': 'ajo-i-ltA', 'predicted_sr': 'ajo-i-ltä'}
{'sf': 'umpikaivolietteiden', 'freq': '1', 'analysis': 'umpi_PFX-kaivo_N-liete_N-PL-GEN', 'segmentation': 'umpi-kaivo-liete-i-den', 'ur': 'umpi-kaivo-liete-i-den', 'predicted_sr': 'umpi-koivo-liete-i-den'}
{'sf': 'urissa', 'freq': '1', 'analysis': 'ura_N-PL-INE', 'segmentation': 'ur-i-sa', 'ur': 'ur-i-sA', 'predicted_sr': 'ur-i-sä'}
{'sf': 'uudenaikaistaa', 'freq': '1', 'analysis': 'udenaikaista_V-INF1', 'segmentation': 'udenaikaista-a', 'ur': 'udenaikaista-A', 'predicted_sr': 'udenaikaista-ä'}
{'sf': 'uutuuksissakaan', 'freq': '1', 'analysis': 'utus_N-PL-INE-kAn_CLI', 'segmentation': 'utuks-i-sa-kan', 'ur': 'utuks-i-sA-kAn', 'predicted_sr': 'utuks-i-sä-kän'}
{'sf': 'vaalikierroksella', 'freq': '1', 'analysis': 'vali_N-kieros_N-ADE', 'segmentation': 'vali-kierokse-la', 'ur': 'vali-kierokse-lA', 'predicted_sr': 'vali-kierokse-lä'}
{'sf': 'vaatinevat', 'freq': '1', 'analysis': 'vatia_V-POTN-PL3', 'segmentation': 'vati-ne-vat', 'ur': 'vati-ne-vAt', 'predicted_sr': 'vati-ne-vät'}
{'sf': 'valintamahdollisuuksiin', 'freq': '1', 'analysis': 'valita_V-DVNTA-mahdolinen_A-DAUS-PL-ILL-valin_N-PTV', 'segmentation': 'vali-nta-mahdolis-uks-i-in-valin-ta', 'ur': 'vali-nta-mahdolis-Ude-i-Vn-valin-tA', 'predicted_sr': 'vali-nto-mahdolis-ude-i-in-volin-tä'}
{'sf': 'valokuvataiteesta', 'freq': '1', 'analysis': 'valo_N-kuva_N-taide_N-ELA', 'segmentation': 'valo-kuva-taite-sta', 'ur': 'valo-kuva-taite-stA', 'predicted_sr': 'valo-kuva-taite-stä'}
{'sf': 'varaedustaja', 'freq': '1', 'analysis': 'vara_N-edusta_V-DVJA', 'segmentation': 'vara-edusta-ja', 'ur': 'vara-edusta-jA', 'predicted_sr': 'vara-edusto-jä'}
{'sf': 'varmuudesta', 'freq': '1', 'analysis': 'varma_A-DAUS-ELA', 'segmentation': 'varm-ude-sta', 'ur': 'varm-Ude-stA', 'predicted_sr': 'varm-yde-stä'}
{'sf': 'venäläisjoukoilla', 'freq': '1', 'analysis': 'venäläinen_A/N-jouko_N-PL-ADE', 'segmentation': 'venäläis-jouko-i-la', 'ur': 'venäläis-jouko-i-lA', 'predicted_sr': 'venäläis-jouko-i-lä'}
{'sf': 'vesikoista', 'freq': '1', 'analysis': 'vesiko_N-PL-ELA', 'segmentation': 'vesiko-i-sta', 'ur': 'vesiko-i-stA', 'predicted_sr': 'vesiko-i-stä'}
{'sf': 'videopalvelimelta', 'freq': '1', 'analysis': 'video_N-palvelin_N-ABL', 'segmentation': 'video-palvelime-lta', 'ur': 'video-palvelime-ltA', 'predicted_sr': 'video-palvelime-ltä'}
{'sf': 'vihakampanjasta', 'freq': '1', 'analysis': 'viha_N-kampanja_N-ELA', 'segmentation': 'viha-kampanja-sta', 'ur': 'viha-kampanja-stA', 'predicted_sr': 'viha-kompanja-stä'}
{'sf': 'virtaava', 'freq': '1', 'analysis': 'virata_V-PCP1', 'segmentation': 'virta-va', 'ur': 'virta-vA', 'predicted_sr': 'virta-vä'}
{'sf': 'ylikorostamisesta', 'freq': '1', 'analysis': 'ylikorosta_V-DVMINEN-ELA', 'segmentation': 'ylikorosta-mise-sta', 'ur': 'ylikorosta-mise-stA', 'predicted_sr': 'ylikorosta-mise-stä'}
