SF	Word	Segmentation	Analysis	Freq
kɑjɑk	kayak	kɑjɑk	Stem	179
kuvvetleriin	kuvvetlerinin	kuvvet-ler-i-in	Stem-pl-p3s-gen	179
lɑzer	lazer	lɑzer	Stem	179
mɑzeret	mazeret	mɑzeret	Stem	179
meʤburi	mecburi	meʤburi	Stem	179
mikɑ	mika	mikɑ	Stem	179
pɑtlɑmɑ	patlama	pɑtlɑ-mɑ	Stem-vn:inf	179
pirinʧ	pirinç	pirinʧ	Stem	179
politikɑlɑrɯn	politikaların	politikɑ-lɑr-ɯn	Stem-pl-gen	179
prɑtisjen	pratisyen	prɑtisjen	Stem	179
rɑf	raf	rɑf	Stem	179
sevijeiin	seviyesinin	sevije-i-in	Stem-p3s-gen	179
sizde	sizde	siz-de	Stem-loc	179
toprɑklɑrdɑ	topraklarda	toprɑk-lɑr-dɑ	Stem-pl-loc	179
jerleriin	yerlerinin	jer-ler-i-in	Stem-pl-p3s-gen	179
ʧɑbɑlɑr	çabalar	ʧɑbɑ-lɑr	Stem-pl	178
øɰrenʤilik	öğrencilik	øɰrenʤi-lik	Stem-lik	178
øjlesine	öylesine	øjlesine	Stem	178
ɑnlɑʃmɑlɑr	anlaşmalar	ɑnlɑʃmɑ-lɑr	Stem-pl	178
bɑsɯm	basım	bɑsɯm	Stem	178
dijɑbet	diyabet	dijɑbet	Stem	178
enstitye	enstitüye	enstity-e	Stem-dat	178
evre	evre	evre	Stem	178
geleni	geleni	geleni	Stem	178
hɑkiki	hakiki	hɑkiki	Stem	178
izleri	izleri	iz-ler-i	Stem-pl-acc	178
kɑpsɑmɑ	kapsama	kɑpsɑ-mɑ	Stem-vn:inf	178
kɑjmɑkɑm	kaymakam	kɑjmɑkɑm	Stem	178
modelin	modelin	model-in	Stem-gen	178
modeliin	modelinin	model-i-in	Stem-p3s-gen	178
pɑrɑgrɑf	paragraf	pɑrɑgrɑf	Stem	178
plɑzmɑ	plazma	plɑzmɑ	Stem	178
ʃɑns	şans	ʃɑns	Stem	177
ɑr	ar	ɑr	Stem	177
dønemleri	dönemleri	dønem-ler-i	Stem-pl-p3s	177
delege	delege	delege	Stem	177
donɑnɯmɯ	donanımı	donɑnɯm-ɯ	Stem-p3s	177
dosjɑlɑrɯn	dosyaların	dosjɑ-lɑr-ɯn	Stem-pl-gen	177
fɯrɯn	fırın	fɯrɯn	Stem	177
gøʧmen	göçmen	gøʧmen	Stem	177
geliʃmei	gelişmeyi	geliʃ-me-i	Stem-vn:inf-acc	177
hɑkikɑten	hakikaten	hɑkikɑten	Stem	177
hɑkimijeti	hakimiyeti	hɑkimijet-i	Stem-p3s	177
imɑn	iman	imɑn	Stem	177
insɑnlɑrdɑ	insanlarda	insɑn-lɑr-dɑ	Stem-pl-loc	177
kɑrɑrlɑrɑ	kararlara	kɑrɑr-lɑr-ɑ	Stem-pl-dat	177
kelimeiin	kelimesinin	kelime-i-in	Stem-p3s-gen	177
kente	kente	kent-e	Stem-dat	177
mevzuɑtɑ	mevzuata	mevzuɑt-ɑ	Stem-dat	177
olgulɑrdɑ	olgularda	olgu-lɑr-dɑ	Stem-pl-loc	177
sɑkɯnʤɑ	sakınca	sɑkɯnʤɑ	Stem	177
tɑmɑmɯjlɑ	tamamıyla	tɑmɑmɯjlɑ	Stem	177
tedbirlerin	tedbirlerin	tedbir-ler-in	Stem-pl-gen	177
telefonlɑr	telefonlar	telefon-lɑr	Stem-pl	177
temjiz	temyiz	temjiz	Stem	177
vɑrken	varken	vɑr-ken	Stem-cv:ken	177
jɯldɯzlɑr	yıldızlar	jɯldɯz-lɑr	Stem-pl	177
ʧɑlɯʃɑnɯ	çalışanı	ʧɑlɯʃɑn-ɯ	Stem-p3s	176
ɑktɑrɯmɯ	aktarımı	ɑktɑrɯm-ɯ	Stem-p3s	176
ɑsbest	asbest	ɑsbest	Stem	176
ʤezɑɯɯn	cezasının	ʤezɑ-ɯ-ɯn	Stem-p3s-gen	176
dyzenlemee	düzenlemeye	dyzenle-me-e	Stem-vn:inf-dat	176
derleme	derleme	derle-me	Stem-vn:inf	176
eɰitimden	eğitimden	eɰitim-den	Stem-abl	176
gelmeden	gelmeden	gel-me-den	Stem-vn:inf-abl	176
hɑller	haller	hɑl-ler	Stem-pl	176
hesɑplɑnmɑɯ	hesaplanması	hesɑp-lɑn-mɑ-ɯ	Stem-lan-vn:inf-p3s	176
kilisei	kilisesi	kilise-i	Stem-p3s	176
mɑsonluk	masonluk	mɑson-luk	Stem-lik	176
modyler	modüler	modyler	Stem	176
penʤerein	pencerenin	penʤere-in	Stem-gen	176
poz	poz	poz	Stem	176
jɯldɯzlɯ	yıldızlı	jɯldɯz-lɯ	Stem-li	176
ørgyte	örgüte	ørgyt-e	Stem-dat	175
ɑlkolly	alkollü	ɑlkol-ly	Stem-li	175
ɑnmɑ	anma	ɑn-mɑ	Stem-vn:inf	175
bitiʃik	bitişik	bitiʃik	Stem	175
bloke	bloke	bloke	Stem	175
bujurun	buyurun	bujuru-n	Stem-p2s	175
ʤesur	cesur	ʤesur	Stem	175
dinleme	dinlemek	dinle-me	Stem-vn:inf	175
gɑjreti	gayreti	gɑjret-i	Stem-p3s	175
giriʃimleri	girişimleri	giriʃim-ler-i	Stem-pl-p3s	175
kɑolin	kaolin	kɑolin	Stem	175
mø	mö	mø	Stem	175
ojbirliɰi	oybirliği	ojbirliɰi	Stem	175
rektøry	rektörü	rektør-y	Stem-p3s	175
tedɑrik	tedarik	tedɑrik	Stem	175
uɰrɑɑn	uğrayan	uɰrɑ-ɑn	Stem-part:pres	175
jenilenmei	yenilenmesi	jeni-len-me-i	Stem-lan-vn:inf-p3s	175
ʧɑtɯɯ	çatısı	ʧɑtɯ-ɯ	Stem-p3s	174
ødev	ödev	ødev	Stem	174
ɑdɑjlɑrɯ	adayları	ɑdɑj-lɑr-ɯ	Stem-pl-p3s	174
ɑkɑrsu	akarsu	ɑkɑrsu	Stem	174
ɑlmɑnɯz	almanız	ɑl-mɑ-nɯz	Stem-vn:inf-p2p	174
ɑnɑlizler	analizler	ɑnɑliz-ler	Stem-pl	174
bɑlɯklɑr	balıklar	bɑlɯk-lɑr	Stem-pl	174
dɑɰɯlɯm	dağılım	dɑɰɯlɯm	Stem	174
dɑɰlɯk	dağlık	dɑɰ-lɯk	Stem-lik	174
deftere	deftere	defter-e	Stem-dat	174
denizden	denizden	deniz-den	Stem-abl	174
doʧentlik	doçentlik	doʧent-lik	Stem-lik	174
fikirleri	fikirleri	fikir-ler-i	Stem-pl-p3s	174
gøryʃmelerin	görüşmelerin	gøryʃme-ler-in	Stem-pl-gen	174
indirimi	indirimi	indirim-i	Stem-p3s	174
insɑnɯɯn	insanının	insɑn-ɯ-ɯn	Stem-p3s-gen	174
kɑlei	kalesi	kɑle-i	Stem-p3s	174
kiʃide	kişide	kiʃi-de	Stem-loc	174
konuklɑr	konuklar	konuk-lɑr	Stem-pl	174
lisɑnssɯz	lisanssız	lisɑns-sɯz	Stem-siz	174
myʃterilermize	müşterilerimize	myʃteri-ler-miz-e	Stem-pl-p1p-dat	174
mekɑnizmɑ	mekanizma	mekɑnizmɑ	Stem	174
tyrleriin	türlerinin	tyr-ler-i-in	Stem-pl-p3s-gen	174
tɑrihler	tarihler	tɑrih-ler	Stem-pl	174
jɑpmɑtɑn	yapmaktan	jɑp-mɑ-tɑn	Stem-vn:inf-abl	174
joɰunluk	yoğunluk	joɰun-luk	Stem-lik	174
ʃubeleri	şubeleri	ʃube-ler-i	Stem-pl-p3s	173
yryne	ürüne	yryn-e	Stem-dat	173
ɑrɑdɑki	aradaki	ɑrɑ-dɑ-ki	Stem-loc-ki	173
ɑteʃli	ateşli	ɑteʃ-li	Stem-li	173
ɑjnɑ	ayna	ɑjnɑ	Stem	173
bytyny	bütünü	bytyn-y	Stem-p3s	173
dɑɰlɑr	dağlar	dɑɰ-lɑr	Stem-pl	173
doɰuʃ	doğuş	doɰ-uʃ	Stem-vn:yis	173
elektromɑnjetik	elektromanyetik	elektromɑnjetik	Stem	173
fonun	fonun	fon-un	Stem-gen	173
istem	istem	istem	Stem	173
kɑrikɑtyr	karikatür	kɑrikɑtyr	Stem	173
koʃul	koşul	koʃul	Stem	173
myʤɑdelein	mücadelenin	myʤɑdele-in	Stem-gen	173
mytevelli	mütevelli	mytevelli	Stem	173
mɑɰdur	mağdur	mɑɰdur	Stem	173
meʤlisiin	meclisinin	meʤlis-i-in	Stem-p3s-gen	173
merkezleriin	merkezlerinin	merkez-ler-i-in	Stem-pl-p3s-gen	173
metod	metod	metod	Stem	173
montɑʒɯ	montajı	montɑʒ-ɯ	Stem-p3s	173
pejzɑʒ	peyzaj	pejzɑʒ	Stem	173
pijɑsɑdɑki	piyasadaki	pijɑsɑ-dɑ-ki	Stem-loc-ki	173
prɑtikte	pratikte	prɑtik-te	Stem-loc	173
syrymy	sürümü	syrym-y	Stem-p3s	173
sɑjɯm	sayım	sɑjɯm	Stem	173
tesislerde	tesislerde	tesis-ler-de	Stem-pl-loc	173
toplumlɑrɯn	toplumların	toplum-lɑr-ɯn	Stem-pl-gen	173
ujgɑrlɯk	uygarlık	ujgɑr-lɯk	Stem-lik	173
jønetme	yönetmek	jønet-me	Stem-vn:inf	173
ʃebekei	şebekesi	ʃebeke-i	Stem-p3s	172
ɑnten	anten	ɑnten	Stem	172
ɑrtɯ	artı	ɑrtɯ	Stem	172
bɑʃlɑnɑn	başlanan	bɑʃ-lɑn-ɑn	Stem-lan-part:pres	172
bɑrou	barosu	bɑro-u	Stem-p3s	172
bileʃik	bileşik	bileʃik	Stem	172
birikim	birikim	birikim	Stem	172
denklemler	denklemler	denklem-ler	Stem-pl	172
eleʃtirel	eleştirel	eleʃtirel	Stem	172
gølge	gölge	gølge	Stem	172
gøzyn	gözün	gøz-yn	Stem-gen	172
gereʧ	gereç	gereʧ	Stem	172
grɑnit	granit	grɑnit	Stem	172
hɑrikɑ	harika	hɑrikɑ	Stem	172
kitɑbevi	kitabevi	kitɑbevi	Stem	172
kredileri	kredileri	kredi-ler-i	Stem-pl-p3s	172
mekɑnlɑrdɑ	mekanlarda	mekɑn-lɑr-dɑ	Stem-pl-loc	172
opsijonlɑr	opsiyonlar	opsijon-lɑr	Stem-pl	172
pos	pos	pos	Stem	172
protez	protez	protez	Stem	172
senɑto	senato	senɑto	Stem	172
sendikɑɯ	sendikası	sendikɑ-ɯ	Stem-p3s	172
teklifleri	teklifleri	teklif-ler-i	Stem-pl-p3s	172
tesiste	tesiste	tesis-te	Stem-loc	172
tuvɑlet	tuvalet	tuvɑlet	Stem	172
jykleniʤi	yüklenici	jyk-len-iʤi	Stem-lan-yici	172
øɰretime	öğretime	øɰretim-e	Stem-dat	171
ɑdrenɑlin	adrenalin	ɑdrenɑlin	Stem	171
bølymlerde	bölümlerde	bølym-ler-de	Stem-pl-loc	171
bɑkɯp	bakıp	bɑk-ɯp	Stem-cv:ip	171
bɑrɯnmɑ	barınma	bɑrɯn-mɑ	Stem-vn:inf	171
benzin	benzin	benzin	Stem	171
bertɑrɑf	bertaraf	bertɑrɑf	Stem	171
birimin	birimin	birim-in	Stem-gen	171
borʧlɑr	borçlar	borʧ-lɑr	Stem-pl	171
dɑvɑlɑr	davalar	dɑvɑ-lɑr	Stem-pl	171
doɰudɑ	doğuda	doɰu-dɑ	Stem-loc	171
ejlemleri	eylemleri	ejlem-ler-i	Stem-pl-p3s	171
gitmei	gitmesi	git-me-i	Stem-vn:inf-p3s	171
hɑkimijet	hakimiyet	hɑkimijet	Stem	171
iɑdei	iadesi	iɑde-i	Stem-p3s	171
kɑrʃɯlɑʃtɯrmɑ	karşılaştırma	kɑrʃɯlɑʃtɯr-mɑ	Stem-vn:inf	171
mɑntɑr	mantar	mɑntɑr	Stem	171
mɑson	mason	mɑson	Stem	171
mesɑfede	mesafede	mesɑfe-de	Stem-loc	171
muhɑtɑp	muhatap	muhɑtɑp	Stem	171
noktɑlɑrɑ	noktalara	noktɑ-lɑr-ɑ	Stem-pl-dat	171
ortɑokul	ortaokul	ortɑokul	Stem	171
progrɑmdɑn	programdan	progrɑm-dɑn	Stem-abl	171
rektørlyk	rektörlük	rektør-lyk	Stem-lik	171
søjleʃi	söyleşi	søjleʃi	Stem	171
sys	süs	sys	Stem	171
semɑ	sema	semɑ	Stem	171
sim	sim	sim	Stem	171
sperm	sperm	sperm	Stem	171
tɑnɯmlɑmɑ	tanımlamak	tɑnɯm-lɑ-mɑ	Stem-la-vn:inf	171
toplɑr	toplar	top-lɑr	Stem-pl	171
vergiler	vergiler	vergi-ler	Stem-pl	171
jyzølʧymy	yüzölçümü	jyzølʧymy	Stem	171
jyzejsel	yüzeysel	jyzej-sel	Stem-sal	171
jɑrdɯmlɑr	yardımlar	jɑrdɯm-lɑr	Stem-pl	171
ʧɑɰrɯɯ	çağrısı	ʧɑɰrɯ-ɯ	Stem-p3s	170
ɑɰɑʧlɑrɯn	ağaçların	ɑɰɑʧ-lɑr-ɯn	Stem-pl-gen	170
ɑlbymy	albümü	ɑlbym-y	Stem-p3s	170
ɑnlɑʃmɑlɑrɯ	anlaşmaları	ɑnlɑʃmɑ-lɑr-ɯ	Stem-pl-p3s	170
ɑjɯrɑn	ayıran	ɑjɯr-ɑn	Stem-part:pres	170
ɑjɯrmɑ	ayırma	ɑjɯr-mɑ	Stem-vn:inf	170
bølgeden	bölgeden	bølge-den	Stem-abl	170
beledijelerin	belediyelerin	beledije-ler-in	Stem-pl-gen	170
betɑ	beta	betɑ	Stem	170
biber	biber	biber	Stem	170
dɑɰɯnɯk	dağınık	dɑɰɯnɯk	Stem	170
doktoru	doktoru	doktor-u	Stem-p3s	170
gøsterdikleri	gösterdikleri	gøster-dik-leri	Stem-part:past-p3p	170
gɑzetein	gazetenin	gɑzete-in	Stem-gen	170
hyljɑ	hülya	hyljɑ	Stem	170
hɑstɑlɯktɑn	hastalıktan	hɑstɑlɯk-tɑn	Stem-abl	170
insɑnlɑrdɑn	insanlardan	insɑn-lɑr-dɑn	Stem-pl-abl	170
kɑsɑbɑ	kasaba	kɑsɑbɑ	Stem	170
kɑtɑ	kata	kɑt-ɑ	Stem-dat	170
komisjonlɑr	komisyonlar	komisjon-lɑr	Stem-pl	170
monitør	monitör	monitør	Stem	170
pɑtoloʒi	patoloji	pɑtoloʒi	Stem	170
søzleʃmee	sözleşmeye	søzleʃme-e	Stem-dat	170
seʧimlerde	seçimlerde	seʧim-ler-de	Stem-pl-loc	170
sinirli	sinirli	sinir-li	Stem-li	170
sormɑ	sormak	sor-mɑ	Stem-vn:inf	170
tyberkyloz	tüberküloz	tyberkyloz	Stem	170
temelli	temelli	temel-li	Stem-li	170
tevdi	tevdi	tevdi	Stem	170
toplumlɑr	toplumlar	toplum-lɑr	Stem-pl	170
jyzejler	yüzeyler	jyzej-ler	Stem-pl	170
jɑnnɯzdɑ	yanınızda	jɑn-nɯz-dɑ	Stem-p2p-loc	170
jɑjɯlmɑɯ	yayılması	jɑjɯlmɑ-ɯ	Stem-p3s	170
zɑrɑrlɑr	zararlar	zɑrɑr-lɑr	Stem-pl	170
ørgytyyn	örgütünün	ørgyt-y-yn	Stem-p3s-gen	169
ɑʧɯklɑmɑ	açıklamak	ɑʧɯklɑ-mɑ	Stem-vn:inf	169
ɑdɑpte	adapte	ɑdɑpte	Stem	169
bɑnkɑlɑrɯ	bankaları	bɑnkɑ-lɑr-ɯ	Stem-pl-p3s	169
bulɑntɯ	bulantı	bulɑntɯ	Stem	169
bulmɑɑ	bulmaya	bul-mɑ-ɑ	Stem-vn:inf-dat	169
dergide	dergide	dergi-de	Stem-loc	169
eʃjɑɯn	eşyanın	eʃjɑ-ɯn	Stem-gen	169
gyzellikleri	güzellikleri	gyzel-lik-ler-i	Stem-lik-pl-p3s	169
hɑreketlerin	hareketlerin	hɑreket-ler-in	Stem-pl-gen	169
hɑjɑli	hayali	hɑjɑl-i	Stem-p3s	169
isleri	isleri	is-ler-i	Stem-pl-p3s	169
izleerek	izleyerek	izle-erek	Stem-cv:erek	169
søzyn	sözün	søz-yn	Stem-gen	169
sɑvʤɯ	savcı	sɑvʤɯ	Stem	169
ɑʧɯ	açı	ɑʧɯ	Stem	168
ɑnɑhtɑrɯ	anahtarı	ɑnɑhtɑr-ɯ	Stem-p3s	168
ɑrkɑdɑʃlɑrmɯzɯn	arkadaşlarımızın	ɑrkɑdɑʃ-lɑr-mɯz-ɯn	Stem-pl-p1p-gen	168
bildirimi	bildirimi	bildirim-i	Stem-p3s	168
doɰumdɑn	doğumdan	doɰum-dɑn	Stem-abl	168
duvɑrlɑrɯ	duvarları	duvɑr-lɑr-ɯ	Stem-pl-p3s	168
eksiklik	eksiklik	eksik-lik	Stem-lik	168
elek	elek	elek	Stem	168
genelge	genelge	genelge	Stem	168
hyʤrei	hücresi	hyʤre-i	Stem-p3s	168
hɑfifʧe	hafifçe	hɑfif-ʧe	Stem-ca	168
imzɑɯ	imzası	imzɑ-ɯ	Stem-p3s	168
kɑpɯdɑn	kapıdan	kɑpɯ-dɑn	Stem-abl	168
konfor	konfor	konfor	Stem	168
lens	lens	lens	Stem	168
mɑddelerden	maddelerden	mɑdde-ler-den	Stem-pl-abl	168
nur	nur	nur	Stem	168
sɑnɑjiin	sanayinin	sɑnɑji-in	Stem-gen	168
seʧip	seçip	seʧ-ip	Stem-cv:ip	168
tejit	teyit	tejit	Stem	168
zɑrf	zarf	zɑrf	Stem	168
øksyryk	öksürük	øksyryk	Stem	167
øny	önü	øn-y	Stem-p3s	167
ʃirin	şirin	ʃirin	Stem	167
ɑʃɑmɑlɑrɯ	aşamaları	ɑʃɑmɑ-lɑr-ɯ	Stem-pl-acc	167
ɑksu	aksu	ɑksu	Stem	167
ɑktiviteler	aktiviteler	ɑktivite-ler	Stem-pl	167
bytynlyk	bütünlük	bytyn-lyk	Stem-lik	167
bɑʃbɑkɑnɯ	başbakanı	bɑʃbɑkɑn-ɯ	Stem-p3s	167
bɑs	bas	bɑs	Stem	167
bozukluk	bozukluk	bozuk-luk	Stem-lik	167
ʤisim	cisim	ʤisim	Stem	167
dinin	dinin	din-in	Stem-gen	167
dinler	dinler	din-ler	Stem-pl	167
direnʧli	dirençli	direnʧ-li	Stem-li	167
durmɑdɑn	durmadan	dur-mɑ-dɑn	Stem-vn:inf-abl	167
dujɑrlɯlɯk	duyarlılık	dujɑrlɯ-lɯk	Stem-lik	167
etkinliklerin	etkinliklerin	etkin-lik-ler-in	Stem-lik-pl-gen	167
fɑɑlijetlerde	faaliyetlerde	fɑɑlijet-ler-de	Stem-pl-loc	167
gørevliler	görevliler	gørev-li-ler	Stem-li-pl	167
hykymleriin	hükümlerinin	hykym-ler-i-in	Stem-pl-p3s-gen	167
hizmetlerden	hizmetlerden	hizmet-ler-den	Stem-pl-abl	167
idɑrein	idarenin	idɑre-in	Stem-gen	167
kɑrʃɯlɯksɯz	karşılıksız	kɑrʃɯlɯk-sɯz	Stem-siz	167
klɑvje	klavye	klɑvje	Stem	167
konsɑntre	konsantre	konsɑntre	Stem	167
korumɑɯ	koruması	korumɑ-ɯ	Stem-p3s	167
kupɑɯ	kupası	kupɑ-ɯ	Stem-p3s	167
logo	logo	logo	Stem	167
myslymɑnlɑr	müslümanlar	myslymɑn-lɑr	Stem-pl	167
misjon	misyon	misjon	Stem	167
ortopedi	ortopedi	ortopedi	Stem	167
syreden	süreden	syre-den	Stem-abl	167
tɯptɑ	tıpta	tɯp-tɑ	Stem-loc	167
tɑblolɑrɯ	tabloları	tɑblo-lɑr-ɯ	Stem-pl-p3s	167
tedɑvileri	tedavileri	tedɑvi-ler-i	Stem-pl-p3s	167
jorgun	yorgun	jorgun	Stem	167
zɑrɑrlɑrɯ	zararları	zɑrɑr-lɑr-ɯ	Stem-pl-p3s	167
øɰeleri	öğeleri	øɰe-ler-i	Stem-pl-acc	166
øɰrenʤilermize	öğrencilerimize	øɰrenʤi-ler-miz-e	Stem-pl-p1p-dat	166
øzgyl	özgül	øzgyl	Stem	166
ʃɑh	şah	ʃɑh	Stem	166
ɑʧɯlɯʃɯ	açılışı	ɑʧɯlɯʃ-ɯ	Stem-p3s	166
ɑltɯnʤɯ	altıncı	ɑltɯ-nʤɯ	Stem-ord	166
ɑmɑʧlɑrɑ	amaçlara	ɑmɑʧ-lɑr-ɑ	Stem-pl-dat	166
ɑrʃivi	arşivi	ɑrʃiv-i	Stem-p3s	166
bursu	bursu	burs-u	Stem-p3s	166
dønemden	dönemden	dønem-den	Stem-abl	166
dyzenleerek	düzenleyerek	dyzenle-erek	Stem-cv:erek	166
esɑsɯ	esası	esɑs-ɯ	Stem-p3s	166
gøryntyy	görüntüyü	gørynty-y	Stem-acc	166
iʧme	içmek	iʧ-me	Stem-vn:inf	166
iʃlemlere	işlemlere	iʃlem-ler-e	Stem-pl-dat	166
iletimi	iletimi	iletim-i	Stem-p3s	166
it	it	it	Stem	166
izlenen	izlenen	iz-len-en	Stem-lan-part:pres	166
krize	krize	kriz-e	Stem-dat	166
kuduz	kuduz	kuduz	Stem	166
limiti	limiti	limit-i	Stem-p3s	166
nitelikteki	nitelikteki	nitelik-te-ki	Stem-loc-ki	166
olmɑmɯz	olmamız	ol-mɑ-mɯz	Stem-vn:inf-p1p	166
sɯhhɑt	sıhhat	sɯhhɑt	Stem	166
sembol	sembol	sembol	Stem	166
sokɑklɑrdɑ	sokaklarda	sokɑk-lɑr-dɑ	Stem-pl-loc	166
tɑrifei	tarifesi	tɑrife-i	Stem-p3s	166
tɑviz	taviz	tɑviz	Stem	166
tesir	tesir	tesir	Stem	166
teslimɑt	teslimat	teslimɑt	Stem	166
jɑpmɑɯn	yapmanın	jɑp-mɑ-ɯn	Stem-vn:inf-gen	166
ʧɑntɑɯ	çantası	ʧɑntɑ-ɯ	Stem-p3s	165
ønlisɑns	önlisans	ønlisɑns	Stem	165
ɑrɑʃtɯrmɑlɑrɯn	araştırmaların	ɑrɑʃtɯr-mɑ-lɑr-ɯn	Stem-vn:inf-pl-gen	165
ɑrɑʤɯlɯk	aracılık	ɑrɑʤɯ-lɯk	Stem-lik	165
ɑrkeoloʒi	arkeoloji	ɑrkeoloʒi	Stem	165
bini	bini	bin-i	Stem-p3s	165
ʤennet	cennet	ʤennet	Stem	165
døkymɑn	döküman	døkymɑn	Stem	165
dergiler	dergiler	dergi-ler	Stem-pl	165
enfekte	enfekte	enfekte	Stem	165
finɑnsmɑnɯ	finansmanı	finɑnsmɑn-ɯ	Stem-p3s	165
gøkjyzy	gökyüzü	gøkjyzy	Stem	165
gørkemli	görkemli	gørkem-li	Stem-li	165
gøsterme	gösterme	gøster-me	Stem-vn:inf	165
hɯrsɯzlɯk	hırsızlık	hɯrsɯz-lɯk	Stem-lik	165
hizmetten	hizmetten	hizmet-ten	Stem-abl	165
iʃlevsel	işlevsel	iʃlev-sel	Stem-sal	165
ilʧede	ilçede	ilʧe-de	Stem-loc	165
kurɑlɯ	kuralı	kurɑl-ɯ	Stem-p3s	165
kurɑmɯ	kuramı	kurɑm-ɯ	Stem-p3s	165
myhim	mühim	myhim	Stem	165
mɑkbuzu	makbuzu	mɑkbuz-u	Stem-p3s	165
metɑbolik	metabolik	metɑbolik	Stem	165
mukɑvemet	mukavemet	mukɑvemet	Stem	165
orɑɯn	oranın	orɑ-ɯn	Stem-gen	165
polislerin	polislerin	polis-ler-in	Stem-pl-gen	165
sevgii	sevgiyi	sevgi-i	Stem-acc	165
sevimli	sevimli	sevimli	Stem	165
siteleri	siteleri	site-ler-i	Stem-pl-p3s	165
tyketimiin	tüketiminin	tyketim-i-in	Stem-p3s-gen	165
tɑkvimi	takvimi	tɑkvim-i	Stem-p3s	165
tedɑvii	tedaviyi	tedɑvi-i	Stem-acc	165
uʤuzɑ	ucuza	uʤuz-ɑ	Stem-dat	165
jɑprɑklɑrɯn	yaprakların	jɑprɑk-lɑr-ɯn	Stem-pl-gen	165
jevmije	yevmiye	jevmije	Stem	165
zinʤiri	zinciri	zinʤir-i	Stem-p3s	165
ʧobɑn	çoban	ʧobɑn	Stem	164
ʃɑrtlɑrɯɯn	şartlarının	ʃɑrt-lɑr-ɯ-ɯn	Stem-pl-p3s-gen	164
ʃiʃe	şişe	ʃiʃe	Stem	164
ɑʧɯklɑmɑɑ	açıklamaya	ɑʧɯklɑ-mɑ-ɑ	Stem-vn:inf-dat	164
bɑɰlɑmɑ	bağlamak	bɑɰlɑ-mɑ	Stem-vn:inf	164
bɑskɯlɑr	baskılar	bɑskɯ-lɑr	Stem-pl	164
deɰerin	değerin	deɰer-in	Stem-gen	164
etkinliklere	etkinliklere	etkin-lik-ler-e	Stem-lik-pl-dat	164
hɑrfi	harfi	hɑrf-i	Stem-p3s	164
hizmetlere	hizmetlere	hizmet-ler-e	Stem-pl-dat	164
iʃletmei	işletmesi	iʃletme-i	Stem-p3s	164
idɑree	idareye	idɑre-e	Stem-dat	164
iliʃkii	ilişkiyi	iliʃki-i	Stem-acc	164
indirimli	indirimli	indirim-li	Stem-li	164
kyʧyʤyk	küçücük	kyʧyʤyk	Stem	164
komik	komik	komik	Stem	164
komisjonɑ	komisyona	komisjon-ɑ	Stem-dat	164
komutlɑr	komutlar	komut-lɑr	Stem-pl	164
kullɑnɯʃlɯ	kullanışlı	kullɑnɯʃlɯ	Stem	164
kurɑk	kurak	kurɑk	Stem	164
kutɑn	kutan	kutɑn	Stem	164
liberɑl	liberal	liberɑl	Stem	164
medjɑɯn	medyanın	medjɑ-ɯn	Stem-gen	164
memleketi	memleketi	memleket-i	Stem-acc	164
meslekler	meslekler	meslek-ler	Stem-pl	164
olɑnɑ	olana	o-lɑn-ɑ	Stem-lan-cv:ye	164
ryjɑ	rüya	ryjɑ	Stem	164
rɑporlɑrɯn	raporların	rɑpor-lɑr-ɯn	Stem-pl-gen	164
stɑrt	start	stɑrt	Stem	164
tɑbloun	tablonun	tɑblo-un	Stem-gen	164
tɑnɯɑn	tanıyan	tɑnɯ-ɑn	Stem-part:pres	164
jykselmei	yükselmesi	jyksel-me-i	Stem-vn:inf-p3s	164
jɑnɑn	yanan	jɑn-ɑn	Stem-part:pres	164
ʃɑrʒ	şarj	ʃɑrʒ	Stem	163
ɑnlɯk	anlık	ɑnlɯk	Stem	163
ɑsmɑ	asma	ɑsmɑ	Stem	163
ɑtɑk	atak	ɑtɑk	Stem	163
ɑjrɯlmɑ	ayrılma	ɑjrɯlmɑ	Stem	163
ɑjrɯmɯ	ayrımı	ɑjrɯm-ɯ	Stem-p3s	163
elnizde	elinizde	el-niz-de	Stem-p2p-loc	163
gøzɑrdɯ	gözardı	gøzɑrdɯ	Stem	163
hedeflenen	hedeflenen	hedef-len-en	Stem-lan-part:pres	163
hoʤɑm	hocam	hoʤɑ-m	Stem-p1s	163
iʧeʤek	içecek	iʧ-eʤek	Stem-part:fut	163
ilkel	ilkel	ilkel	Stem	163
ipek	ipek	ipek	Stem	163
itirɑf	itiraf	itirɑf	Stem	163
koordine	koordine	koordine	Stem	163
lif	lif	lif	Stem	163
menye	menüye	meny-e	Stem-dat	163
rekɑbetin	rekabetin	rekɑbet-in	Stem-gen	163
rezervi	rezervi	rezerv-i	Stem-p3s	163
sektørler	sektörler	sektør-ler	Stem-pl	163
senden	senden	sen-den	Stem-abl	163
sunmɑɑ	sunmaya	sun-mɑ-ɑ	Stem-vn:inf-dat	163
tutmɑɑ	tutmaya	tut-mɑ-ɑ	Stem-vn:inf-dat	163
vɑzife	vazife	vɑzife	Stem	163
jɯldønymy	yıldönümü	jɯldønymy	Stem	163
jyryen	yürüyen	jyry-en	Stem-part:pres	163
jɑrɑlɑnmɑ	yaralanma	jɑrɑ-lɑn-mɑ	Stem-lan-vn:inf	163
